Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
Actr1um,Hollistic,Puppy Dog Food,Actr1um HolisticPuppy Dog Food ,Puppy,Walmart,$0.30,2.75,
,,,Actr1um Holistic Dog Food with Duck & Sweet Potato,ALS,Walmart,$0.49,2.25,"Duck, Pearled barley, Duck meal, Oatmeal, Pea fiber, Sweet potatoes, Herring meal, Dicalcium phosphate, Olive oil, Ground whole flaxseed, Dried alfalfa, Apples, Bananas, Blueberries, Broccoli, Cranberries, Dried kelp, Pears, Spinach, Capsicum, Cinnamon, Chamomile, Paprika, Turmeric, Vitamin E supplement, Choline chloride, Ferrous sulfate, Zinc oxide, Copper sulfate, Vitamin B12"
,,,Actr1um Holistic Dog Food with Chicken,Adult  ,Walmart,$0.33,2.25,"Chicken, Chicken meal, Pearled barley, Oats, Herring meal, Dicalcium phosphate, Olive oil, Tomato pomace, Ground whole flaxseed, Dried alfalfa, Apples, Bananas, Blueberries, Broccoli, Cranberries, Dried kelp, Pears, Spinach, Sweet Potatoes, Capsicum, Cinnamon, Chamomile, Paprika, Turmeric, Calcium carbonate, Vitamin E supplement, Choline chloride, Ferrous sulfate, Zinc oxide, Copper sulfate, Vitamin B12 supplement, Niacin, Sodium selenite, Calcium panthothenate, Manganous oxide, Vitamin A acetate, Riboflavin, Calcium iodate, Folic acid, Thiamine mononitrate, Pyridoxine hydrochloride, Vitamin D3 supplement, Rosemary extract. May contain trace amount of peanuts."
,,,Actr1um Holistic Large Breed Adult Dog Food,Adult LB,Walmart,,,
,,,ACTR1UM Holistic Adult Dog Food,Adult  ,Walmart,$0.33,,"Chicken, chicken meal, pearled barley, oats, herring meal, dicalcium phosphate, olive oil, tomato pomace, ground whole flaxseed, dried alfalfa, apples, bananas, blueberries, broccoli, cranberries, dried kelp, pears, spinach, sweet potatoes, capsicum, cinnamon, chamomile, paprika, turmeric, calcium carbonate, vitamin E supplement, choline chloride, ferrous sulphate, zinc oxide, copper sulphate, vitamin B12 supplement, niacin, sodium selenite, calcium pantothenate, manganous oxide, vitamin A acetate, riboflavin, calcium iodate, folic acid, thiamine mononitrate, pyridoxine hydrochloride, vitamin D3 supplement, rosemary extract"
,,,Authority,,,,,
,,,Lg Breed Adult Lamb and Rice,Adult  ,PetSmart,$0.37,,"Deboned Lamb, Lamb Meal, Brown Rice,"
,,,LG Breed Adult Chicken and Rice,Adult  ,PetSmart,$0.37,,"Deboned Chicken, Chicken Meal, Brown Rice, Corn, Oat Groats, Corn Gluten Meal, Dried Plain Beet Pulp, Natural Flavor, Chicken Fat, Dicalcium Phosphate,"
,,,Grain-Free Adult Dog Food Chicken & Pea,Adult  ,PetSmart,$0.40,2.75,"Deboned Chicken, Chicken Meal, Dried Peas, Dried Potatoes, Dried Chickpeas, Chicken Fat (Preserved With Mixed Tocopherols), Dried Plain Beet Pulp, Natural Flavor, Flaxseed Meal, Salt,"
,,,Co-Op,,,,,
,,,Coop Lamb and Oatmeal 7kg,Adult  ,BigWay,$0.41,2.5,
,,,CoOp Dog Food,Adult  ,BigWay,$0.17,4.25,
,,,Centsibles,Adult  ,BigWay,,,
,,,Blue Buffalo,,,,,
,,,Life Protection Formula Chicken and Brown Rice Small Breed,Adult SB,Various,$0.75,1,
,,,Life Protection Formula Chicken and Brown Rice Adult Dogs,Adult  ,Various,$0.56,2.5,
,,,Life Protection Formula Fish and Brown Rice Adult Dogs,Adult  ,Various,$0.49,,
,,,Life Protection Formula Lamb and Brown Rice Adult,Adult  ,Various,$0.49,,
,,,Blue Freedom Grain-Free Healthy Weight Chicken Recipe,Adult  ,Various,$1.33,,
,,,Life Protection Formula Healthy Weight Chicken and Brown Rice,Adult  ,Various,$0.46,,
,,,Life Protection Formula GF Chicken Recipe,Adult  ,Various,$0.69,,
,,,Blue Wilderness Chicken Adult,Adult  ,Various,$0.79,2.25,
,,,Blue Basics Limited Ingredient Turkey & Potato,Adult  ,Various,$0.74,2.25,
,,,Blue Freedom GF Chicken Recipe,Adult  ,Various,$0.71,2.5,
,,,Blue Wilderness Denali Dinner,Adult  ,Various,$0.86,2.5,
,,,Blue Wilderness Salmon Large Breed,Adult LB,Various,$0.75,4.48,
,,,Life Protection Formula Chicken & Brown Rice Recipe for Puppies,Puppy,Various,$0.50,1.75,
,,,Blue Freedom GF Chicken Recipe for Puppies,Puppy,Various,$0.70,1.75,
,,,Boka,,,,,
,,,Boka Chicken Meal & Oatmeal Recipe,Adult  ,Various,$0.54,2,"Chicken Meal, Oatmeal, Whole Barley, Chicken & Turkey Fat (preserved with mixed tocopherols, a natural source of Vitamin E), Whole Brown Rice, "
,,,Boka Pork Meal & Oatmeal Recipe,Adult  ,Various,$0.56,2,
,,,Boreal,,,,,
,,,Original Grain Free Salmon ,Adult  ,,$1.04,2,
,,,Original Turkey,Adult  ,,$0.86,2,
,,,Original Lamb,Adult  ,,$0.95,2,
,,,Original Small Breed Canadian Duck,Adult SB,,$1.29,1,
,,,Vital All Breed Chicken Meal,Adult  ,,$0.57,2,
,,,Vital Large Breed Chicken Meal,Adult LB,,$0.53,,
,,,Vital All Breed Red Meat Meal,Adult  ,,$0.54,2,
,,,Vital All Breed Whitefish Meal,Adult  ,,$0.66,2,
,,,Proper Chicken Meal Low Carb Grains ,Adult  ,,$0.52,2,
,,,Proper Ocean Fish Meal,Adult  ,,$0.68,2,
,,,Proper Large Breed Red Meat,Adult LB,,$0.61,,
,,,Proper Large Breed Chicken Meal,Adult LB,,$0.53,,
,,,Canidae,,,,,
,,,All Life Stages Large Breed Turkey and Brown Rice ,ALS,,$0.43,,
,,,Pure Limited Ingredient Grain Free Lamb ,Adult  ,,$1.07,1,
,,,"All Life Stages Multi Protein (Turkey, Chicken, Lamb and Fish)",ALS,,$0.63,0.85,
,,,All Life Stages Chicken and Brown Rice,ALS,,$0.46,0.85,
,,,Under The Sun Grain Free Adult Chicken ,Adult  ,,$0.51,0.85,
,,,Pure Senior Recipe Limited Ingredient Grain Free ,Senior,,$0.98,1.33,
,,,Grain Free Pure Real chicken Limited Ingredient ,Adult  ,,$1.01,,
,,,Whitefish,Adult  ,,$0.57,2.25,
,,,LB Chicken,Adult LB,,$0.59,,
,,,Canidae,,,,,
,,,Multi-Protein,,,$0.55,2,
,,,Puppy Chicken,,,$0.86,,
,,,Lamb & Rice,,,$0.76,2,
,,,Canadian Naturals,,,,,
,,,Omega Fresh,,,,,
,,,Omega Fresh with Fresh deboned Angus Beef,Adult  ,Homesalive,$0.75,1.83,
,,,Omega Fresh with Fresh deboned Chicken,Adult  ,Homesalive,$0.73,1.83,
,,,Limited Ingredient,,,,,
,,,Sweet Potato & Salmon - Limited Ingredient Diet,Adult  ,,$0.66,,"Sweet potato, salmon meal, potato, flaxseed, canola oil (preserved with mixed tocopherols and citric acid), natural flavour, "
,,,Potato & Duck Formula - Limited Ingredient Diet,Adult  ,,$0.70,,"Potato, duck meal, flaxseed, canola oil (preserved with mixed tocopherols and citric acid), natural flavour, salmon oil (preserved with mixed tocopherols and citric acid), salt, choline chloride, potassium chloride"
,,,Pork & Squash - Limited Ingredient Diet,Adult  ,,$0.69,,"Deboned pork, pork meal, sweet potatoes, chickpeas, squash, potatoes, canola oil ( preserved with mixed tocopherols and citric acid ), flaxseed,"
,,,Potato & Venison - Limited Ingredient Diet,Adult  ,,$0.77,,"Sweet potato, venison meal, peas, pea protein, potato, flaxseed, canola oil ( preserved with mixed tocopherols and citric acid ), dicalcium phosphate,"
,,,Value Series,,,,,
,,,Grain Free Whitefish,Adult  ,,$0.50,2.5,"Fresh whitefish, peas, chicken meal, potatoes, pea starch, Chicken fat (preserved with mixed tocopherols and citric acid ), alfalfa, "
,,,LB Red Meat 28,Adult  ,,$0.45,2.5,"Pork meal, peas, pea starch, pork fat ( preserved with mixed tocopherols and citric acid ), potatoes, lamb meal, alfalfa, "
,,,Grain Free Red Meat ,Adult  ,,$0.42,2.5,"Pork meal, peas, pea starch, Pork fat ( preserved with mixed tocopherols and citric acid ), potatoes, alfalfa, lamb meal, natural flavour, flaxseed, red lentils, calcium carbonate, salt, vitamins (vitamin A, vitamin D3"
,,,Roasted Chicken Grain Free,Adult  ,,$0.47,2.5,
,,,Lamb and Brown Rice,Adult  ,,$0.41,3.5,"Lamb meal, peas, pearled barley, oat groats, brown rice, flaxseed, canola oil (preserved with mixed tocopherols and citric acid),"
,,,Original Series,,,,,
,,,Turkey & Salmon & Brown Rice,Adult  ,,$0.43,,"Fresh turkey, turkey meal, brown rice, oatmeal, potato, dehulled barley, chicken fat(stabilized with mixed tocopherols, a natural source of vitamin E), salmon meal, sweet potato, tomato pomace"
,,,Turkey & Salmon & Brown Rice Small Bites,Adult SB,,$0.76,,"Fresh turkey, turkey meal, brown rice, oatmeal, potato, dehulled barley, chicken fat(stabilized with mixed tocopherols, a natural source of vitamin E), salmon meal, sweet potato, tomato pomace"
,,,Large Breed Turkey and Brown Rice ,Adult LB,,$0.50,,"Fresh turkey, turkey meal, brown rice, dehulled barley, oatmeal, salmon meal, potato, chicken fat(stabilized with mixed tocopherols, a natural source of vitamin E), whole dried egg, flaxseed"
,,,Senior Formula Turkey & Brown Rice,Senior,,$0.47,,"Fresh turkey, turkey meal, brown rice, dehulled barley, oatmeal, potato, salmon meal, chicken fat(stabilized with mixed tocopherols, a natural source of vitamin E), flaxseed,"
,,,Carna4,,,,,
,,,Carna4 Hand Crafted Dog Food - Chicken,Adult  ,,$1.70,1.25,
,,,Carna4 Hand Crafted Dog Food - Grain-Free Duck,Adult  ,,$1.81,1.25,
,,,Carna4 Hand Crafted Dog Food - Easy-Chew Fish Formula,Adult  ,,$2.16,0.5,
,,,Canisource Grand Cru,,,,,
,,,Surf and Turf,,,$0.00,,
,,,Free Grain Chicken and Duck,,,$1.65,,
,,,Red Meat,,,$1.72,,
,,,Free Grain Fish,,,$1.65,,
,,,Free Grain Turkey,,,$1.65,,
,,,Free Grain Pork and Lamb,,,$1.65,,
,,,Cesar,,,,,
,,,Cesar Dry Filet Mignon,Adult SB,,$0.61,,"Beef, Chicken By-Product Meal, Ground Yellow Corn, Ground Wheat, Brewers Rice, Meat & Bone Meal, Animal Fat (preserved with BHA & Citric Acid), Corn Gluten Meal, Soybean Meal, Natural Flavor, Dried Beet Pulp, Glycerin, Salt, Phosphoric Acid, Sugar, Water, Potassium Sorbate, Potassium Chloride,"
,,,Country Vet,,,,,
,,,Country Vet Naturals Grain Free ,Adult  ,Domo,,,
,,,EaglePack,,,,,
,,,Original Adult Chicken & Pork,Adult  ,Anipet,$0.49,3,"Chicken Meal, Pork Meal, Ground Brown Rice, Dehulled Barley, Oatmeal, Rice, Peas, Chicken Fat (preserved with Mixed Tocopherols), Brewers Dried Yeast, Flaxseed, Tomato Pomace,"
